URL,Version,Status,OIDs,Name,Title,Descriptino,Uses,Used,Sources
http://hl7.org/fhir/ValueSet/observation-status,4.0.1,active,"2.16.840.1.113883.4.642.3.400",ObservationStatus,ObservationStatus,"Codes providing the status of an observation.","StructureDefinition/mesures-observation-glucose,StructureDefinition/mesures-observation-head-circumference,StructureDefinition/mesures-fr-observation-heartrate,StructureDefinition/mesures-fr-observation-body-weight,StructureDefinition/mesures-fr-observation-oxygen-sat,StructureDefinition/mesures-fr-observation-bodyheight,StructureDefinition/mesures-fr-observation-bmi,StructureDefinition/mesures-fr-observation-bp,StructureDefinition/mesures-fr-observation-body-temperature,StructureDefinition/mesures-observation-waist-circumference,StructureDefinition/mesures-observation-pain-severity,StructureDefinition/mesures-observation-steps-by-day","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/observation-vitalsignresult,4.0.1,active,"2.16.840.1.113883.3.88.12.80.62",VitalSigns,Vital Signs,"This value set indicates the allowed vital sign result types.   The LOINC code for Vitals Signs panel (85353-1) is a grouping structure for a set of vital signs and includes related links (with type=has-member) to the Observations in this set (e.g. respiratory rate, heart rate, BP).  The Blood pressure panel (85354-9) is used to group the component observations Systolic blood pressure (8480-6) and Diastolic blood pressure (8462-4).","StructureDefinition/mesures-observation-glucose,StructureDefinition/mesures-observation-head-circumference,StructureDefinition/mesures-fr-observation-heartrate,StructureDefinition/mesures-fr-observation-body-weight,StructureDefinition/mesures-fr-observation-oxygen-sat,StructureDefinition/mesures-fr-observation-bodyheight,StructureDefinition/mesures-fr-observation-bmi,StructureDefinition/mesures-fr-observation-bp,StructureDefinition/mesures-fr-observation-body-temperature,StructureDefinition/mesures-observation-waist-circumference,StructureDefinition/mesures-observation-pain-severity,StructureDefinition/mesures-observation-steps-by-day","LOINC"
http://hl7.org/fhir/ValueSet/quantity-comparator,4.0.1,active,"2.16.840.1.113883.4.642.3.59",QuantityComparator,QuantityComparator,"How the Quantity should be understood and represented.","StructureDefinition/mesures-observation-glucose,StructureDefinition/mesures-observation-head-circumference,StructureDefinition/mesures-fr-observation-heartrate,StructureDefinition/mesures-fr-observation-body-weight,StructureDefinition/mesures-fr-observation-oxygen-sat,StructureDefinition/mesures-fr-observation-bodyheight,StructureDefinition/mesures-fr-observation-bmi,StructureDefinition/mesures-fr-observation-bp,StructureDefinition/mesures-fr-observation-body-temperature,StructureDefinition/mesures-observation-waist-circumference,StructureDefinition/mesures-observation-pain-severity,StructureDefinition/mesures-observation-steps-by-day","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/referencerange-appliesto,4.0.1,draft,"2.16.840.1.113883.4.642.3.407",ObservationReferenceRangeAppliesToCodes,Observation Reference Range Applies To Codes,"This value set defines a set of codes that can be used to indicate the particular target population the reference range applies to.","StructureDefinition/mesures-observation-head-circumference,StructureDefinition/mesures-fr-observation-body-weight,StructureDefinition/mesures-fr-observation-oxygen-sat,StructureDefinition/mesures-fr-observation-bodyheight,StructureDefinition/mesures-fr-observation-body-temperature,StructureDefinition/mesures-observation-waist-circumference,StructureDefinition/mesures-observation-pain-severity,StructureDefinition/mesures-observation-steps-by-day","SCT"
http://hl7.org/fhir/ValueSet/referencerange-meaning,4.0.1,draft,"2.16.840.1.113883.4.642.3.397",ObservationReferenceRangeMeaningCodes,Observation Reference Range Meaning Codes,"This value set defines a set of codes that can be used to indicate the meaning/use of a reference range for a particular target population.","StructureDefinition/mesures-observation-glucose,StructureDefinition/mesures-observation-head-circumference,StructureDefinition/mesures-fr-observation-heartrate,StructureDefinition/mesures-fr-observation-body-weight,StructureDefinition/mesures-fr-observation-oxygen-sat,StructureDefinition/mesures-fr-observation-bodyheight,StructureDefinition/mesures-fr-observation-bmi,StructureDefinition/mesures-fr-observation-bp,StructureDefinition/mesures-fr-observation-body-temperature,StructureDefinition/mesures-observation-waist-circumference,StructureDefinition/mesures-observation-pain-severity,StructureDefinition/mesures-observation-steps-by-day","THO"
http://hl7.org/fhir/ValueSet/resource-types,5.0.0,active,"2.16.840.1.113883.4.642.3.27",ResourceType,Resource Types,"Concrete FHIR Resource Types","StructureDefinition/mesures-fr-observation-oxygen-sat,StructureDefinition/mesures-fr-observation-bp","FHIR"
http://hl7.org/fhir/ValueSet/search-entry-mode,4.0.1,active,"2.16.840.1.113883.4.642.3.622",SearchEntryMode,SearchEntryMode,"Why an entry is in the result set - whether it's included as a match or because of an _include requirement, or to convey information or warning information about the search process.","StructureDefinition/mesures-bundle-flux-alimentation","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/security-labels,4.0.1,active,"2.16.840.1.113883.4.642.3.47",All Security Labels,SecurityLabels,"A single value set for all security labels defined by FHIR.","StructureDefinition/mesures-observation-glucose,StructureDefinition/mesures-observation-head-circumference,StructureDefinition/mesures-fr-observation-heartrate,StructureDefinition/mesures-fr-observation-body-weight,StructureDefinition/mesures-fr-observation-oxygen-sat,StructureDefinition/mesures-fr-observation-bodyheight,StructureDefinition/mesures-fr-observation-bmi,StructureDefinition/mesures-fr-observation-bp,StructureDefinition/mesures-fr-observation-body-temperature,StructureDefinition/mesures-observation-waist-circumference,StructureDefinition/mesures-observation-pain-severity,StructureDefinition/mesures-observation-steps-by-day",
http://hl7.org/fhir/ValueSet/ucum-bodylength,4.0.1,draft,"2.16.840.1.113883.4.642.3.958",BodyLengthUnits,Body Length Units,"UCUM units for recording body length measures such as height and head circumference","StructureDefinition/mesures-fr-observation-bodyheight","UCUM"
http://hl7.org/fhir/ValueSet/ucum-bodytemp,4.0.1,draft,"2.16.840.1.113883.4.642.3.957",BodyTemperatureUnits,Body Temperature Units,"UCUM units for recording Body Temperature","StructureDefinition/mesures-fr-observation-body-temperature","UCUM"
http://hl7.org/fhir/ValueSet/ucum-bodyweight,4.0.1,draft,"2.16.840.1.113883.4.642.3.956",BodyWeightUnits,Body Weight Units,"UCUM units for recording Body Weight","StructureDefinition/mesures-fr-observation-body-weight","UCUM"
http://hl7.org/fhir/ValueSet/ucum-vitals-common,4.0.1,draft,"2.16.840.1.113883.4.642.3.955",VitalSignsUnits,Vital Signs Units,"Common UCUM units for recording Vital Signs","StructureDefinition/mesures-observation-glucose,StructureDefinition/mesures-observation-head-circumference,StructureDefinition/mesures-fr-observation-heartrate,StructureDefinition/mesures-fr-observation-body-weight,StructureDefinition/mesures-fr-observation-oxygen-sat,StructureDefinition/mesures-fr-observation-bodyheight,StructureDefinition/mesures-fr-observation-bmi,StructureDefinition/mesures-fr-observation-bp,StructureDefinition/mesures-fr-observation-body-temperature,StructureDefinition/mesures-observation-waist-circumference,StructureDefinition/mesures-observation-pain-severity,StructureDefinition/mesures-observation-steps-by-day","UCUM"
https://interop.esante.gouv.fr/ig/fhir/mesures/ValueSet/method-glucose-vs,3.0.1,active,,MethodeGlucoseVS,Méthode de mesures de glycémie sanguine ou interstitielle,"Méthode de mesures de glycémie sanguine ou interstitielle.","StructureDefinition/mesures-observation-glucose","Other"
